StreamName,Hatchery_Josephson,Total_Josephson,pHOS_Josephson,Hatchery_MyDat,Total_MyDat,pHOS_MyDat,pHOS_Diff
Hidden Inlet,23,400,0.052,23,400,0.058,-0.006
Marten River,18,575,0.031,18,575,0.031,0.000
Carroll Creek,11,468,0.021,11,468,0.024,-0.003
King Creek,8,408,0.019,8,408,0.020,-0.001
Harding River,11,89,0.127,11,89,0.124,0.003
North Arm Creek,13,354,0.037,13,354,0.037,0.000
Saginaw Bay S Head,5,33,0.167,5,33,0.152,0.015
Petrof Bay W Head,6,399,0.015,6,399,0.015,0.000
Johnston Creek,3,495,0.006,3,495,0.006,0.000
East of Snug Cove,15,344,0.043,15,344,0.044,-0.001
Chuck River ,15,150,0.1,15,150,0.100,0.000
Glen Creek,2,5,0.4,2,5,0.400,0.000
Swan Cove Creek,3,327,0.01,3,327,0.009,0.001
King Salmon River,3,304,0.01,3,304,0.010,0.000
Prospect Creek,56,109,0.51,56,109,0.514,-0.004
Admiralty Creek,22,194,0.111,22,194,0.113,-0.002
Fish Creek,486,608,0.854,486,608,0.799,0.055
Ralphs Creek,1,429,0.002,1,429,0.002,0.000
Kadashan River,1,5,0.2,1,5,0.200,0.000
Seal Bay Head,1,314,0.003,1,314,0.003,0.000
Little Goose Creek,0,14,0,0,14,0.000,0.000
Freshwater Creek,4,134,0.03,4,134,0.030,0.000
Greens Creek,10,257,0.04,10,257,0.039,0.001
Chaik Bay Creek,9,395,0.032,9,395,0.023,0.009
Whitewater Creek,34,388,0.088,34,388,0.088,0.000
Rodman Creek,3,373,0.008,3,373,0.008,0.000
Ushk Bay W Head,1,248,0.004,1,248,0.004,0.000
Game Creek,5,496,0.011,5,496,0.010,0.001
Sawmill Creek,290,560,0.512,290,560,0.518,-0.006
W Crawfish NE Arm Hd,5,568,0.009,5,568,0.009,0.000
Sister Lake SE Head,12,506,0.027,12,506,0.024,0.003
Ford Arm Creek,13,477,0.025,13,477,0.027,-0.002